SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
36,race,v_decile_score,t-closeness,0.5,2,-0.7966903073286052,-0.7754010695187166,-0.1324325232765285,-0.8135593220338984,-0.1972519196149749,0.6325757575757576,0.7104477611940299,0.6620305980528511,0.7665056360708534,0.6039424732078404,"[[192 243]
 [145 476]]",0.02508822,0.2271942516984904,0.018151123
37,race,v_decile_score,t-closeness,0.5,2,-0.7857142857142857,-0.7511961722488039,-0.1558975563909774,-0.8158995815899581,-0.1655701754385965,0.6410984848484849,0.7177959791511541,0.6846590909090909,0.7543035993740219,0.6109647493272987,"[[195 222]
 [157 482]]",0.022548106,0.2392235944662272,0.016451113
38,race,v_decile_score,t-closeness,0.5,2,-0.8051044083526682,-0.7571428571428571,-0.123875638051044,-0.8506787330316742,-0.0712571428571429,0.6278409090909091,0.7073715562174236,0.6699576868829337,0.749211356466877,0.5973544933993153,"[[188 234]
 [159 475]]",0.023213428,0.1892106056632297,0.018386064
39,race,v_decile_score,t-closeness,0.5,2,-0.7928571428571428,-0.7684210526315789,-0.1669811320754716,-0.8130434782608695,-0.21123400563869,0.6505681818181818,0.7304601899196493,0.6915629322268326,0.7739938080495357,0.6150456845125727,"[[187 223]
 [146 500]]",0.02300763,0.1848372379274968,0.016956031
0,sex,v_decile_score,k-anonymity,10.0,3,0.1495536095321008,0.0512975662229393,-0.025725064440689,0.1026727893559402,0.0300538960445784,0.78125,0.7814569536423841,0.7108433734939759,0.8676470588235294,0.7889959432048681,"[[412 168]
 [ 63 413]]",0.3440385,2.010820747658145,0.15122627
1,sex,v_decile_score,k-anonymity,10.0,3,0.1102436948658778,0.0441110613524405,0.0036169620791803,0.0432992385869743,0.1023357306673198,0.7471590909090909,0.7440076701821668,0.6928571428571428,0.8033126293995859,0.751569054664889,"[[401 172]
 [ 95 388]]",0.36947384,1.768675892642306,0.16225976
2,sex,v_decile_score,k-anonymity,10.0,3,0.1299944075063692,-0.0053353185681493,-0.0791027154663518,0.1498990812917594,-0.0494579497030315,0.7547348484848485,0.7554296506137866,0.6896551724137931,0.8350730688935282,0.7615573316738005,"[[397 180]
 [ 79 400]]",0.39315143,1.7422221175385315,0.16558106
3,sex,v_decile_score,k-anonymity,10.0,3,0.074511066219726,-0.0354933156557286,-0.0284369658356827,0.0433838667415309,0.0564061073769811,0.7670454545454546,0.7734806629834254,0.7355516637478109,0.8155339805825242,0.7682106132117797,"[[390 151]
 [ 95 420]]",0.36906445,2.0481011524525767,0.15555367
4,sex,v_decile_score,k-anonymity,10.0,3,0.1678862282727604,0.0952719797596457,-0.0127142336210039,0.0894514192139738,0.0804828973843058,0.7632575757575758,0.7524752475247525,0.7037037037037037,0.8085106382978723,0.7677365478178781,"[[426 160]
 [ 90 380]]",0.37999573,2.2248092455423736,0.15577507
5,sex,v_decile_score,k-anonymity,10.0,3,0.081202595980921,-0.0382882882882883,-0.0600125107514269,0.0838033843674455,-0.0133421182671717,0.7774621212121212,0.7785108388312912,0.7577981651376147,0.8003875968992248,0.7779715762273902,"[[408 132]
 [103 413]]",0.3777302,2.0505871772766118,0.16002701
